id,timestamp,source_ip,dest_ip,port,protocol,threat_type,severity,attack_category,confidence,details,dataset,country,city,latitude,longitude,dest_country,dest_city,dest_latitude,dest_longitude
68191,14:53:07,35.75.186.107,78.142.100.123,445,DNS,Ransomware,High,Endpoint,0.81,Detected Ransomware from internal source,Team Cymru Malware & ASN Intelligence,Japan,Tokyo,35.6895,139.6917,United States,San Francisco,37.7749,-122.4194
73698,14:53:07,94.79.208.180,164.245.127.198,22,HTTPS,Zero-Day Exploit,Critical,Web,0.99,Detected Zero-Day Exploit from internal source,Spamhaus DROP / EDROP Threat Feeds,Germany,Frankfurt,50.1109,8.6821,Canada,Toronto,43.65107,-79.347015
59671,14:53:07,228.115.130.17,35.79.6.124,3306,DNS,Port Scan,Critical,Application,0.99,Detected Port Scan from internal source,CAIDA UCSD Network Telescope,United Kingdom,London,51.5074,-0.1278,India,Mumbai,19.076,72.8777
87917,14:53:07,234.175.252.82,10.94.147.204,22,DNS,DNS Tunneling,Critical,Endpoint,1.0,Detected DNS Tunneling from internal source,CERT NetFlow & Incident Datasets,United States,New York,40.7128,-74.006,Singapore,Singapore,1.3521,103.8198
81779,14:53:09,64.20.137.245,52.203.225.21,25,ICMP,Botnet Activity,Critical,DNS,0.99,Detected Botnet Activity from external source,Team Cymru Malware & ASN Intelligence,Australia,Sydney,-33.8688,151.2093,India,Bengaluru,12.9716,77.5946
47784,14:53:09,116.150.162.2,210.248.131.54,5432,DNS,Privilege Escalation,Critical,DNS,1.0,Detected Privilege Escalation from external source,GreyNoise Attack Source Intelligence,United States,San Francisco,37.7749,-122.4194,Japan,Tokyo,35.6895,139.6917
55021,14:53:09,133.84.252.25,106.246.107.161,123,HTTP,Man-in-the-Middle,Critical,Application,1.0,Detected Man-in-the-Middle from external source,Shadowserver Foundation Public Datasets,United States,San Francisco,37.7749,-122.4194,India,Bengaluru,12.9716,77.5946
39885,14:53:09,165.170.113.14,197.41.65.224,3306,DNS,Privilege Escalation,Critical,Web,0.95,Detected Privilege Escalation from internal source,OpenThreatExchange (AlienVault OTX) Data Pulses,United States,New York,40.7128,-74.006,United States,San Francisco,37.7749,-122.4194
41467,14:53:09,166.182.65.17,26.235.221.227,445,ICMP,Man-in-the-Middle,Critical,Endpoint,0.99,Detected Man-in-the-Middle from internal source,CAIDA UCSD Network Telescope,India,Mumbai,19.076,72.8777,Singapore,Singapore,1.3521,103.8198
58702,14:53:09,57.40.162.177,191.120.174.75,21,DNS,Man-in-the-Middle,Critical,Network,0.93,Detected Man-in-the-Middle from external source,Honeynet Project Honeypot Datasets,United States,San Francisco,37.7749,-122.4194,United Kingdom,London,51.5074,-0.1278
13249,14:53:09,98.46.221.107,79.28.32.219,123,DNS,Zero-Day Exploit,Critical,Network,0.98,Detected Zero-Day Exploit from internal source,CAIDA UCSD Network Telescope,Canada,Toronto,43.65107,-79.347015,Germany,Frankfurt,50.1109,8.6821
59929,14:53:09,225.70.214.6,61.43.148.38,123,HTTPS,Phishing,Critical,Email,0.89,Detected Phishing from external source,CERT NetFlow & Incident Datasets,South Africa,Johannesburg,-26.2041,28.0473,Canada,Toronto,43.65107,-79.347015
74489,14:53:09,212.60.130.136,174.107.147.248,123,ICMP,Phishing,Critical,Network,1.0,Detected Phishing from internal source,MAWI Packet Trace Archive,Australia,Sydney,-33.8688,151.2093,Japan,Tokyo,35.6895,139.6917
96891,14:53:09,109.9.127.111,240.197.52.80,123,UDP,XSS Attempt,Critical,Email,0.94,Detected XSS Attempt from internal source,Honeynet Project Honeypot Datasets,Japan,Tokyo,35.6895,139.6917,Germany,Frankfurt,50.1109,8.6821
85304,14:53:11,152.255.58.19,81.92.59.35,139,HTTPS,Brute Force,Critical,DNS,1.0,Detected Brute Force from internal source,RIPE Atlas Measurement Data,Japan,Tokyo,35.6895,139.6917,India,Bengaluru,12.9716,77.5946
14403,14:53:11,175.91.41.106,39.74.82.225,3306,DNS,DNS Tunneling,Critical,Network,0.99,Detected DNS Tunneling from internal source,RIPE Atlas Measurement Data,Japan,Tokyo,35.6895,139.6917,South Africa,Johannesburg,-26.2041,28.0473
43191,14:53:11,104.232.139.194,140.4.143.136,53,HTTP,Malware Download,Low,DNS,0.42,Detected Malware Download from internal source,FireHOL IP Blacklist Aggregator Feeds,Australia,Sydney,-33.8688,151.2093,India,Mumbai,19.076,72.8777
78948,14:53:11,26.94.124.225,106.234.64.28,8080,TCP,Ransomware,Critical,DNS,1.0,Detected Ransomware from external source,DShield / SANS Internet Storm Center Logs,Canada,Toronto,43.65107,-79.347015,United States,San Francisco,37.7749,-122.4194
42864,14:53:11,54.200.23.66,151.207.13.238,445,HTTP,Phishing,Critical,Application,1.0,Detected Phishing from external source,Abuse.ch Threat Feeds,United Kingdom,London,51.5074,-0.1278,United States,New York,40.7128,-74.006
33646,14:53:11,181.18.122.219,184.164.155.1,3306,HTTP,XSS Attempt,Medium,Network,0.7,Detected XSS Attempt from external source,Abuse.ch Threat Feeds,Singapore,Singapore,1.3521,103.8198,United Kingdom,London,51.5074,-0.1278
24463,14:53:11,244.107.92.19,46.182.158.223,53,TCP,Brute Force,Critical,Application,1.0,Detected Brute Force from internal source,Shadowserver Foundation Public Datasets,South Africa,Johannesburg,-26.2041,28.0473,United States,New York,40.7128,-74.006
91806,14:53:11,127.1.181.191,99.145.235.144,445,HTTP,Botnet Activity,Critical,Email,0.96,Detected Botnet Activity from internal source,Honeynet Project Honeypot Datasets,Germany,Frankfurt,50.1109,8.6821,United Kingdom,London,51.5074,-0.1278
98785,14:53:11,69.149.10.164,12.199.45.144,21,HTTPS,Botnet Activity,Critical,Application,0.99,Detected Botnet Activity from internal source,Shadowserver Foundation Public Datasets,Canada,Toronto,43.65107,-79.347015,Brazil,São Paulo,-23.5505,-46.6333
50670,14:53:11,66.154.189.214,207.85.87.242,53,ICMP,Data Exfiltration,Critical,Network,0.99,Detected Data Exfiltration from external source,FireHOL IP Blacklist Aggregator Feeds,South Africa,Johannesburg,-26.2041,28.0473,Singapore,Singapore,1.3521,103.8198
31216,14:53:13,18.160.197.35,150.200.89.17,443,ICMP,Phishing,Critical,Network,0.95,Detected Phishing from external source,MAWI Packet Trace Archive,Australia,Sydney,-33.8688,151.2093,United Kingdom,London,51.5074,-0.1278
