id,event_id,timestamp,source_ip,dest_ip,port,protocol,threat_type,severity,attack_category,confidence,details,dataset,country,city,latitude,longitude,dest_country,dest_city,dest_latitude,dest_longitude
1157,18887,13:53:27,46.70.135.207,84.48.117.195,8080,DNS,Data Exfiltration,Critical,Network,1.0,Detected Data Exfiltration from external source,Shadowserver Foundation Public Datasets,South Africa,Johannesburg,-26.2041,28.0473,Germany,Frankfurt,50.1109,8.6821
1156,71292,13:53:27,155.102.64.198,219.180.198.250,123,UDP,Zero-Day Exploit,High,Email,0.76,Detected Zero-Day Exploit from internal source,CAIDA UCSD Network Telescope,Japan,Tokyo,35.6895,139.6917,India,Mumbai,19.076,72.8777
1155,90322,13:53:27,82.26.12.166,147.156.135.202,53,DNS,Privilege Escalation,Critical,DNS,0.95,Detected Privilege Escalation from internal source,Team Cymru Malware & ASN Intelligence,Australia,Sydney,-33.8688,151.2093,United States,San Francisco,37.7749,-122.4194
1154,72725,13:53:27,118.162.118.168,225.48.177.69,3306,HTTP,DDoS Attack,Critical,Application,0.93,Detected DDoS Attack from internal source,Shadowserver Foundation Public Datasets,India,Mumbai,19.076,72.8777,Brazil,São Paulo,-23.5505,-46.6333
1153,73822,13:53:27,168.127.155.158,246.49.212.84,80,HTTPS,Malware Download,Critical,Application,0.91,Detected Malware Download from internal source,Shadowserver Foundation Public Datasets,South Africa,Johannesburg,-26.2041,28.0473,Australia,Sydney,-33.8688,151.2093
1152,41529,13:53:27,47.6.20.21,96.40.16.49,123,HTTP,SQL Injection,Critical,Web,1.0,Detected SQL Injection from external source,Honeynet Project Honeypot Datasets,Germany,Frankfurt,50.1109,8.6821,Canada,Toronto,43.65107,-79.347015
1151,74416,13:53:27,226.132.21.88,129.11.74.7,22,TCP,Privilege Escalation,Critical,Application,1.0,Detected Privilege Escalation from internal source,Rapid7 Project Sonar,Canada,Toronto,43.65107,-79.347015,Germany,Frankfurt,50.1109,8.6821
1150,47992,13:53:27,100.172.241.182,29.169.23.93,22,ICMP,Phishing,Critical,Application,1.0,Detected Phishing from internal source,OpenThreatExchange (AlienVault OTX) Data Pulses,Germany,Frankfurt,50.1109,8.6821,United States,New York,40.7128,-74.006
1149,13759,13:53:25,47.167.179.70,17.49.162.249,80,ICMP,Brute Force,Critical,Endpoint,1.0,Detected Brute Force from internal source,Team Cymru Malware & ASN Intelligence,South Africa,Johannesburg,-26.2041,28.0473,United States,New York,40.7128,-74.006
1148,57453,13:53:25,209.124.203.92,36.89.71.159,21,DNS,Phishing,Critical,Endpoint,0.98,Detected Phishing from external source,Honeynet Project Honeypot Datasets,Germany,Frankfurt,50.1109,8.6821,Brazil,São Paulo,-23.5505,-46.6333
1147,65294,13:53:25,58.250.235.4,98.60.61.206,139,TCP,Malware Download,Medium,Endpoint,0.54,Detected Malware Download from external source,Shadowserver Foundation Public Datasets,United Kingdom,London,51.5074,-0.1278,United States,New York,40.7128,-74.006
1146,66109,13:53:25,133.107.30.29,153.95.8.77,22,TCP,Privilege Escalation,Critical,Endpoint,0.98,Detected Privilege Escalation from external source,Honeynet Project Honeypot Datasets,Japan,Tokyo,35.6895,139.6917,United States,San Francisco,37.7749,-122.4194
1145,32255,13:53:25,217.82.216.233,195.116.53.138,80,DNS,XSS Attempt,Low,Endpoint,0.36,Detected XSS Attempt from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,South Africa,Johannesburg,-26.2041,28.0473,South Africa,Johannesburg,-26.2041,28.0473
1144,22462,13:53:25,55.124.175.78,126.105.247.41,123,UDP,Malware Download,Critical,DNS,0.86,Detected Malware Download from external source,Team Cymru Malware & ASN Intelligence,Australia,Sydney,-33.8688,151.2093,Canada,Toronto,43.65107,-79.347015
1143,43780,13:53:25,52.123.142.135,210.10.38.186,123,HTTPS,Port Scan,Critical,Email,0.97,Detected Port Scan from internal source,Spamhaus DROP / EDROP Threat Feeds,India,Bengaluru,12.9716,77.5946,India,Mumbai,19.076,72.8777
1142,42264,13:53:25,193.36.208.97,226.9.206.241,443,UDP,Zero-Day Exploit,Critical,Endpoint,0.99,Detected Zero-Day Exploit from internal source,Spamhaus DROP / EDROP Threat Feeds,Brazil,São Paulo,-23.5505,-46.6333,Singapore,Singapore,1.3521,103.8198
1141,50629,13:53:25,55.110.26.188,129.160.113.210,21,UDP,DNS Tunneling,Critical,Web,0.97,Detected DNS Tunneling from internal source,CAIDA UCSD Network Telescope,Australia,Sydney,-33.8688,151.2093,India,Mumbai,19.076,72.8777
1140,97114,13:53:25,122.79.49.186,66.64.64.70,8080,HTTPS,XSS Attempt,Critical,DNS,0.96,Detected XSS Attempt from external source,CIRT Threat Intelligence Feeds,Brazil,São Paulo,-23.5505,-46.6333,South Africa,Johannesburg,-26.2041,28.0473
1139,21802,13:53:25,13.165.77.213,230.106.198.43,8080,HTTPS,Botnet Activity,Critical,Web,0.95,Detected Botnet Activity from external source,Abuse.ch Threat Feeds,Germany,Frankfurt,50.1109,8.6821,South Africa,Johannesburg,-26.2041,28.0473
1138,85897,13:53:25,212.250.23.45,47.60.161.63,123,HTTP,DDoS Attack,Critical,Web,1.0,Detected DDoS Attack from internal source,Honeynet Project Honeypot Datasets,Canada,Toronto,43.65107,-79.347015,India,Mumbai,19.076,72.8777
1137,18067,13:53:25,142.4.96.68,181.168.44.105,123,TCP,SQL Injection,High,DNS,0.76,Detected SQL Injection from internal source,CERT NetFlow & Incident Datasets,Singapore,Singapore,1.3521,103.8198,Australia,Sydney,-33.8688,151.2093
1136,75652,13:53:25,127.69.151.232,125.114.206.68,3306,ICMP,Data Exfiltration,Critical,DNS,0.99,Detected Data Exfiltration from internal source,CIRT Threat Intelligence Feeds,Japan,Tokyo,35.6895,139.6917,United Kingdom,London,51.5074,-0.1278
1135,37507,13:53:25,90.190.134.237,215.197.87.157,8080,ICMP,Man-in-the-Middle,Critical,Network,0.98,Detected Man-in-the-Middle from internal source,Shadowserver Foundation Public Datasets,Japan,Tokyo,35.6895,139.6917,Brazil,São Paulo,-23.5505,-46.6333
1134,77855,13:53:25,169.134.136.124,137.210.237.4,8080,TCP,Data Exfiltration,Critical,Application,1.0,Detected Data Exfiltration from external source,Honeynet Project Honeypot Datasets,South Africa,Johannesburg,-26.2041,28.0473,Singapore,Singapore,1.3521,103.8198
1133,65935,13:53:25,110.97.149.245,212.209.218.77,5432,ICMP,Malware Download,Critical,Application,0.99,Detected Malware Download from external source,Team Cymru Malware & ASN Intelligence,Singapore,Singapore,1.3521,103.8198,Brazil,São Paulo,-23.5505,-46.6333
1132,74220,13:53:23,144.30.166.238,59.198.240.171,80,ICMP,Malware Download,Critical,DNS,0.97,Detected Malware Download from external source,RIPE Atlas Measurement Data,United Kingdom,London,51.5074,-0.1278,Brazil,São Paulo,-23.5505,-46.6333
1131,48979,13:53:23,2.238.187.85,153.12.76.135,22,HTTP,DDoS Attack,Critical,Endpoint,1.0,Detected DDoS Attack from external source,Rapid7 Project Sonar,Japan,Tokyo,35.6895,139.6917,South Africa,Johannesburg,-26.2041,28.0473
1130,30183,13:53:23,10.201.232.177,6.104.95.197,21,TCP,Ransomware,Critical,Email,0.93,Detected Ransomware from external source,CAIDA UCSD Network Telescope,United Kingdom,London,51.5074,-0.1278,Singapore,Singapore,1.3521,103.8198
1129,79928,13:53:23,184.30.84.64,118.160.114.98,25,UDP,DNS Tunneling,Critical,Web,0.99,Detected DNS Tunneling from internal source,GreyNoise Attack Source Intelligence,Australia,Sydney,-33.8688,151.2093,India,Bengaluru,12.9716,77.5946
1128,26876,13:53:20,90.173.113.30,133.68.165.216,22,UDP,XSS Attempt,Critical,DNS,1.0,Detected XSS Attempt from external source,Shadowserver Foundation Public Datasets,Germany,Frankfurt,50.1109,8.6821,United States,San Francisco,37.7749,-122.4194
1127,44306,13:53:20,218.132.105.106,25.86.248.161,53,ICMP,Data Exfiltration,Critical,DNS,0.99,Detected Data Exfiltration from internal source,CAIDA UCSD Network Telescope,United Kingdom,London,51.5074,-0.1278,South Africa,Johannesburg,-26.2041,28.0473
1126,85789,13:53:20,147.209.191.162,17.111.81.1,445,UDP,Man-in-the-Middle,Critical,Application,0.97,Detected Man-in-the-Middle from external source,FireHOL IP Blacklist Aggregator Feeds,Australia,Sydney,-33.8688,151.2093,South Africa,Johannesburg,-26.2041,28.0473
1125,15005,13:53:20,130.94.143.37,195.32.208.86,5432,UDP,SQL Injection,Critical,Web,0.98,Detected SQL Injection from external source,Shadowserver Foundation Public Datasets,Singapore,Singapore,1.3521,103.8198,India,Bengaluru,12.9716,77.5946
1124,32010,13:53:20,52.171.66.144,125.233.96.181,443,UDP,Man-in-the-Middle,Critical,Network,0.99,Detected Man-in-the-Middle from external source,GreyNoise Attack Source Intelligence,Singapore,Singapore,1.3521,103.8198,Germany,Frankfurt,50.1109,8.6821
1123,78416,13:53:20,104.3.43.80,254.247.184.164,8080,HTTPS,XSS Attempt,Medium,Web,0.53,Detected XSS Attempt from internal source,CERT NetFlow & Incident Datasets,United States,San Francisco,37.7749,-122.4194,South Africa,Johannesburg,-26.2041,28.0473
1122,87680,13:53:20,48.151.176.146,122.161.187.185,445,UDP,Zero-Day Exploit,Critical,Web,0.99,Detected Zero-Day Exploit from internal source,DShield / SANS Internet Storm Center Logs,Brazil,São Paulo,-23.5505,-46.6333,Japan,Tokyo,35.6895,139.6917
1121,63855,13:53:20,164.30.84.157,222.93.242.62,443,UDP,Botnet Activity,Critical,Web,0.98,Detected Botnet Activity from external source,GreyNoise Attack Source Intelligence,South Africa,Johannesburg,-26.2041,28.0473,Singapore,Singapore,1.3521,103.8198
1120,17095,13:53:20,110.201.44.94,43.186.44.69,80,DNS,Data Exfiltration,Critical,Web,0.87,Detected Data Exfiltration from internal source,RIPE Atlas Measurement Data,South Africa,Johannesburg,-26.2041,28.0473,United States,San Francisco,37.7749,-122.4194
1119,23888,13:53:18,189.245.254.119,102.175.37.72,22,HTTP,Brute Force,Critical,Web,1.0,Detected Brute Force from internal source,Honeynet Project Honeypot Datasets,United Kingdom,London,51.5074,-0.1278,United States,New York,40.7128,-74.006
1118,85788,13:53:18,221.73.192.196,50.176.94.134,5432,ICMP,Man-in-the-Middle,Critical,Endpoint,0.99,Detected Man-in-the-Middle from external source,CIRT Threat Intelligence Feeds,Japan,Tokyo,35.6895,139.6917,India,Mumbai,19.076,72.8777
1117,43302,13:53:18,235.167.10.49,108.121.30.107,139,UDP,Phishing,Critical,Network,0.97,Detected Phishing from external source,Spamhaus DROP / EDROP Threat Feeds,United States,New York,40.7128,-74.006,United Kingdom,London,51.5074,-0.1278
1116,88722,13:53:18,210.85.152.113,55.58.159.114,21,DNS,Data Exfiltration,Critical,Application,1.0,Detected Data Exfiltration from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,United States,New York,40.7128,-74.006,United Kingdom,London,51.5074,-0.1278
1115,78869,13:53:18,206.222.41.107,96.117.124.235,25,TCP,SQL Injection,Critical,Email,0.97,Detected SQL Injection from internal source,Abuse.ch Threat Feeds,United States,San Francisco,37.7749,-122.4194,Germany,Frankfurt,50.1109,8.6821
1114,13357,13:53:18,9.181.107.138,145.225.59.75,8080,HTTPS,Privilege Escalation,Critical,Network,0.98,Detected Privilege Escalation from external source,CAIDA UCSD Network Telescope,India,Bengaluru,12.9716,77.5946,United States,San Francisco,37.7749,-122.4194
1113,74676,13:53:18,82.62.108.68,40.26.220.8,8080,TCP,Malware Download,Critical,DNS,0.99,Detected Malware Download from internal source,Spamhaus DROP / EDROP Threat Feeds,Germany,Frankfurt,50.1109,8.6821,India,Bengaluru,12.9716,77.5946
1112,36410,13:53:18,108.149.70.81,217.220.187.167,22,HTTPS,DNS Tunneling,Critical,Web,0.92,Detected DNS Tunneling from external source,FireHOL IP Blacklist Aggregator Feeds,Germany,Frankfurt,50.1109,8.6821,Brazil,São Paulo,-23.5505,-46.6333
1111,69101,13:53:18,74.166.105.215,177.47.7.180,3306,HTTP,SQL Injection,Critical,Email,1.0,Detected SQL Injection from external source,OpenThreatExchange (AlienVault OTX) Data Pulses,India,Bengaluru,12.9716,77.5946,India,Mumbai,19.076,72.8777
1110,31808,13:53:18,49.110.96.159,34.108.132.210,139,HTTPS,Botnet Activity,Critical,Endpoint,0.93,Detected Botnet Activity from external source,Team Cymru Malware & ASN Intelligence,India,Mumbai,19.076,72.8777,United States,San Francisco,37.7749,-122.4194
1109,82097,13:53:16,56.104.239.10,234.11.206.143,443,HTTPS,DDoS Attack,Critical,Network,0.87,Detected DDoS Attack from internal source,DShield / SANS Internet Storm Center Logs,India,Mumbai,19.076,72.8777,Australia,Sydney,-33.8688,151.2093
1108,85897,13:53:16,144.88.218.74,209.133.235.19,139,ICMP,Botnet Activity,High,Network,0.74,Detected Botnet Activity from internal source,DShield / SANS Internet Storm Center Logs,India,Mumbai,19.076,72.8777,Brazil,São Paulo,-23.5505,-46.6333
1107,94922,13:53:16,200.217.114.22,164.250.186.234,53,TCP,Ransomware,Critical,DNS,1.0,Detected Ransomware from external source,Rapid7 Project Sonar,India,Bengaluru,12.9716,77.5946,Singapore,Singapore,1.3521,103.8198
1106,80577,13:53:16,130.95.1.247,20.17.11.150,53,HTTPS,Privilege Escalation,Critical,Endpoint,0.97,Detected Privilege Escalation from external source,Team Cymru Malware & ASN Intelligence,Brazil,São Paulo,-23.5505,-46.6333,United States,New York,40.7128,-74.006
1105,95277,13:53:16,82.190.218.104,246.96.111.85,22,HTTPS,XSS Attempt,Critical,Web,1.0,Detected XSS Attempt from internal source,Shadowserver Foundation Public Datasets,South Africa,Johannesburg,-26.2041,28.0473,Singapore,Singapore,1.3521,103.8198
1104,70574,13:53:16,112.42.103.96,70.41.30.146,8080,DNS,Zero-Day Exploit,Critical,Application,0.99,Detected Zero-Day Exploit from internal source,FireHOL IP Blacklist Aggregator Feeds,United Kingdom,London,51.5074,-0.1278,Brazil,São Paulo,-23.5505,-46.6333
1103,83429,13:53:16,137.217.147.91,151.38.196.135,123,DNS,Malware Download,High,Email,0.84,Detected Malware Download from internal source,OpenThreatExchange (AlienVault OTX) Data Pulses,Singapore,Singapore,1.3521,103.8198,United Kingdom,London,51.5074,-0.1278
1102,11155,13:53:16,91.40.170.22,190.5.203.230,21,TCP,Brute Force,Critical,Web,0.99,Detected Brute Force from external source,MAWI Packet Trace Archive,Australia,Sydney,-33.8688,151.2093,Germany,Frankfurt,50.1109,8.6821
1101,87921,13:53:16,91.247.86.216,161.253.89.170,21,UDP,Port Scan,Critical,Application,0.99,Detected Port Scan from external source,RIPE Atlas Measurement Data,India,Mumbai,19.076,72.8777,Japan,Tokyo,35.6895,139.6917
1100,57126,13:53:16,191.104.35.178,138.219.83.206,80,DNS,XSS Attempt,Critical,DNS,1.0,Detected XSS Attempt from external source,CAIDA UCSD Network Telescope,Canada,Toronto,43.65107,-79.347015,India,Bengaluru,12.9716,77.5946
1099,39820,13:53:14,129.51.218.205,13.105.194.137,443,HTTP,DNS Tunneling,Critical,DNS,1.0,Detected DNS Tunneling from external source,Shadowserver Foundation Public Datasets,United Kingdom,London,51.5074,-0.1278,South Africa,Johannesburg,-26.2041,28.0473
1098,97938,13:53:14,210.32.134.83,17.84.151.223,21,DNS,Botnet Activity,Critical,DNS,0.97,Detected Botnet Activity from internal source,Team Cymru Malware & ASN Intelligence,South Africa,Johannesburg,-26.2041,28.0473,Brazil,São Paulo,-23.5505,-46.6333
1097,76827,13:53:14,227.138.183.136,55.17.145.164,3306,HTTP,SQL Injection,Critical,Web,1.0,Detected SQL Injection from internal source,FireHOL IP Blacklist Aggregator Feeds,South Africa,Johannesburg,-26.2041,28.0473,Japan,Tokyo,35.6895,139.6917
1096,38619,13:53:11,190.143.57.6,208.254.21.130,22,HTTPS,Privilege Escalation,Critical,Network,1.0,Detected Privilege Escalation from external source,Shadowserver Foundation Public Datasets,Australia,Sydney,-33.8688,151.2093,United Kingdom,London,51.5074,-0.1278
1095,43311,13:53:09,137.221.68.242,10.236.171.64,3306,ICMP,Brute Force,Critical,Network,0.99,Detected Brute Force from external source,CAIDA UCSD Network Telescope,Germany,Frankfurt,50.1109,8.6821,Singapore,Singapore,1.3521,103.8198
1094,45397,13:53:09,103.252.121.74,139.12.42.223,22,ICMP,XSS Attempt,Critical,Web,1.0,Detected XSS Attempt from internal source,DShield / SANS Internet Storm Center Logs,Australia,Sydney,-33.8688,151.2093,Singapore,Singapore,1.3521,103.8198
1093,54377,13:53:09,235.8.29.245,118.44.54.187,123,HTTPS,Port Scan,Critical,Endpoint,1.0,Detected Port Scan from external source,Honeynet Project Honeypot Datasets,Australia,Sydney,-33.8688,151.2093,Canada,Toronto,43.65107,-79.347015
1092,67901,13:53:09,186.171.218.161,118.188.125.100,21,ICMP,Man-in-the-Middle,Critical,Email,0.99,Detected Man-in-the-Middle from external source,FireHOL IP Blacklist Aggregator Feeds,Australia,Sydney,-33.8688,151.2093,India,Mumbai,19.076,72.8777
1091,27479,13:53:09,88.33.245.198,93.161.183.83,53,HTTPS,Malware Download,Critical,Endpoint,1.0,Detected Malware Download from internal source,Team Cymru Malware & ASN Intelligence,United Kingdom,London,51.5074,-0.1278,Brazil,São Paulo,-23.5505,-46.6333
1090,30062,13:53:09,73.107.42.108,84.226.77.75,53,UDP,Phishing,Critical,Endpoint,0.96,Detected Phishing from internal source,Rapid7 Project Sonar,Japan,Tokyo,35.6895,139.6917,Brazil,São Paulo,-23.5505,-46.6333
1089,68866,13:53:07,77.68.78.245,55.184.89.206,25,HTTP,XSS Attempt,Critical,Email,0.99,Detected XSS Attempt from internal source,DShield / SANS Internet Storm Center Logs,Japan,Tokyo,35.6895,139.6917,Singapore,Singapore,1.3521,103.8198
1088,35313,13:53:07,5.69.47.209,39.115.232.203,5432,HTTPS,Privilege Escalation,Critical,Web,1.0,Detected Privilege Escalation from external source,CAIDA UCSD Network Telescope,United States,San Francisco,37.7749,-122.4194,Canada,Toronto,43.65107,-79.347015
1087,93105,13:53:07,125.136.150.36,215.85.74.160,53,HTTP,SQL Injection,Critical,Web,1.0,Detected SQL Injection from internal source,Abuse.ch Threat Feeds,United States,San Francisco,37.7749,-122.4194,Brazil,São Paulo,-23.5505,-46.6333
1086,44475,13:53:07,78.255.59.64,46.78.22.172,443,ICMP,Man-in-the-Middle,Critical,DNS,1.0,Detected Man-in-the-Middle from external source,DShield / SANS Internet Storm Center Logs,India,Bengaluru,12.9716,77.5946,Australia,Sydney,-33.8688,151.2093
1085,13331,13:53:07,4.121.129.21,96.190.238.84,139,HTTPS,Brute Force,Critical,Application,1.0,Detected Brute Force from internal source,RIPE Atlas Measurement Data,Australia,Sydney,-33.8688,151.2093,India,Bengaluru,12.9716,77.5946
1084,80501,13:53:07,86.22.123.60,56.61.43.243,123,HTTP,Privilege Escalation,Critical,Email,0.92,Detected Privilege Escalation from internal source,MAWI Packet Trace Archive,United States,New York,40.7128,-74.006,United States,San Francisco,37.7749,-122.4194
1083,18946,13:53:07,101.109.227.199,37.246.237.237,25,ICMP,Botnet Activity,Critical,Email,0.96,Detected Botnet Activity from internal source,FireHOL IP Blacklist Aggregator Feeds,United States,New York,40.7128,-74.006,Canada,Toronto,43.65107,-79.347015
1082,88670,13:53:05,74.135.132.90,184.48.98.22,445,DNS,DDoS Attack,Critical,Web,1.0,Detected DDoS Attack from internal source,DShield / SANS Internet Storm Center Logs,Germany,Frankfurt,50.1109,8.6821,South Africa,Johannesburg,-26.2041,28.0473
1081,99952,13:53:05,136.71.201.110,242.126.37.108,80,HTTPS,Ransomware,Critical,Email,1.0,Detected Ransomware from internal source,FireHOL IP Blacklist Aggregator Feeds,United States,San Francisco,37.7749,-122.4194,Brazil,São Paulo,-23.5505,-46.6333
1080,54671,13:53:05,218.141.98.136,43.198.53.62,80,DNS,Data Exfiltration,Critical,Email,1.0,Detected Data Exfiltration from internal source,DShield / SANS Internet Storm Center Logs,Canada,Toronto,43.65107,-79.347015,Brazil,São Paulo,-23.5505,-46.6333
1079,88451,13:53:05,172.53.237.14,202.108.225.126,53,ICMP,Malware Download,Critical,Application,0.98,Detected Malware Download from internal source,GreyNoise Attack Source Intelligence,India,Mumbai,19.076,72.8777,Australia,Sydney,-33.8688,151.2093
1078,78258,13:53:05,108.194.164.38,150.124.118.81,8080,DNS,Port Scan,Critical,Web,0.92,Detected Port Scan from external source,DShield / SANS Internet Storm Center Logs,Canada,Toronto,43.65107,-79.347015,United States,San Francisco,37.7749,-122.4194
1077,23811,13:53:05,163.170.10.45,110.60.87.205,80,UDP,Botnet Activity,High,Application,0.82,Detected Botnet Activity from external source,GreyNoise Attack Source Intelligence,Canada,Toronto,43.65107,-79.347015,Japan,Tokyo,35.6895,139.6917
